                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4575,                 7.6295,                  1.806,                      0,                      0,                      0,                      0,                 2.3683,                 6.9288,                  2.004,              2.352e-05,              2.352e-05,              2.352e-05
                      2,                 2.2534,                 6.6645,                  1.597,                0.00235,                0.06061,                 0.0107,                0.00499,                 1.7304,                  6.496,                 1.4813,             5.2396e-05,             5.2396e-05,             5.2396e-05
                      3,                 1.5577,                 4.2611,                 1.1797,                0.13974,                0.13636,                0.06924,                0.03369,                 1.5368,                 8.9544,                  1.219,              8.069e-05,              8.069e-05,              8.069e-05
                      4,                 1.5246,                 3.3007,                  1.102,                0.33778,                0.26742,                0.10715,                0.06038,                 1.4813,                 7.5045,                 1.1838,              0.0001084,              0.0001084,              0.0001084
                      5,                 1.4991,                 2.8078,                 1.0392,                0.34442,                0.25719,                0.25784,                0.14721,                  1.515,                 5.0824,                 1.1945,             0.00013553,             0.00013553,             0.00013553
                      6,                 1.4349,                  2.727,                 1.0912,                0.32542,                0.31472,                0.30288,                0.17262,                 1.5255,                 4.0903,                 1.1867,             0.00016208,             0.00016208,             0.00016208
                      7,                 1.4326,                 2.3599,                 1.0354,                0.22142,                0.59453,                0.26128,                0.16226,                 1.4688,                 8.6927,                 1.1229,             0.00018804,             0.00018804,             0.00018804
                      8,                 1.3242,                 2.0234,                 1.0453,                0.40104,                0.34007,                0.32053,                0.20092,                 1.4302,                 10.822,                 1.1429,             0.00021343,             0.00021343,             0.00021343
                      9,                 1.3756,                 1.9554,                 1.0774,                0.55205,                0.55963,                0.42642,                0.25786,                 1.4608,                 3.6542,                 1.1729,             0.00023823,             0.00023823,             0.00023823
                     10,                 1.3722,                 1.8274,                 1.1082,                0.69269,                0.42478,                0.44062,                0.26853,                 1.4814,                 2.4699,                 1.1689,             0.00026245,             0.00026245,             0.00026245
                     11,                   1.35,                  1.725,                 1.0595,                0.47954,                0.53388,                0.46527,                0.29187,                 1.4389,                 2.2563,                 1.1414,             0.00028609,             0.00028609,             0.00028609
                     12,                 1.2433,                 1.5209,                 1.0486,                0.64021,                0.50434,                0.53664,                0.34145,                 1.4474,                 2.2378,                 1.1658,             0.00030914,             0.00030914,             0.00030914
                     13,                 1.3792,                 1.6582,                 1.0883,                0.57884,                0.54655,                0.56475,                0.35719,                 1.4229,                 2.3099,                  1.164,             0.00033161,             0.00033161,             0.00033161
                     14,                 1.2875,                 1.5004,                 1.0372,                0.52823,                0.57371,                0.57071,                 0.3727,                 1.3859,                   2.06,                 1.1647,              0.0003535,              0.0003535,              0.0003535
                     15,                 1.2363,                 1.3581,                 1.0203,                0.52614,                0.59023,                0.60332,                 0.3765,                 1.4413,                 1.7221,                   1.21,             0.00037481,             0.00037481,             0.00037481
                     16,                 1.2703,                 1.3427,                 1.1015,                0.50285,                0.66545,                0.63062,                0.39414,                 1.4266,                   1.71,                 1.1946,             0.00039554,             0.00039554,             0.00039554
                     17,                 1.2748,                 1.1893,                 1.0796,                0.50446,                0.58227,                0.63272,                0.39458,                 1.4581,                 1.9779,                 1.1847,             0.00041568,             0.00041568,             0.00041568
                     18,                 1.2548,                 1.2336,                 1.0301,                0.41481,                0.71931,                0.65492,                0.38887,                 1.4669,                 1.9373,                 1.2031,             0.00043525,             0.00043525,             0.00043525
                     19,                 1.1758,                 1.0883,                 1.0437,                0.42827,                0.68097,                0.65545,                0.39514,                  1.451,                 2.1469,                 1.2013,             0.00045423,             0.00045423,             0.00045423
                     20,                 1.2291,                 1.0506,                 1.0367,                0.40865,                0.61742,                0.57897,                0.35318,                 1.4562,                 2.0143,                 1.2126,             0.00047262,             0.00047262,             0.00047262
                     21,                 1.1602,                 1.1469,                 1.0357,                0.45457,                0.65459,                0.57967,                0.35882,                 1.4229,                 1.8663,                 1.1898,             0.00047158,             0.00047158,             0.00047158
                     22,                 1.1773,                0.98332,                 1.0406,                0.45064,                0.61532,                0.57981,                0.35967,                 1.4227,                 1.8328,                 1.1871,             0.00046575,             0.00046575,             0.00046575
                     23,                 1.2071,                0.94281,                 1.0526,                0.47714,                0.64785,                0.64224,                0.39996,                  1.455,                 1.7564,                 1.1996,             0.00045993,             0.00045993,             0.00045993
                     24,                 1.1417,                0.87991,                 1.0045,                0.55742,                 0.6568,                0.72373,                0.42686,                  1.481,                 1.6159,                 1.2224,             0.00045411,             0.00045411,             0.00045411
                     25,                 1.1938,                 1.0208,                 1.0984,                0.54833,                0.62296,                 0.6891,                0.41777,                 1.4638,                 1.6259,                 1.2241,             0.00044829,             0.00044829,             0.00044829
                     26,                 1.1929,                  1.026,                 1.0411,                0.55646,                 0.5641,                0.64835,                0.39192,                 1.4571,                 1.7581,                 1.2216,             0.00044247,             0.00044247,             0.00044247
                     27,                 1.1716,                0.95373,                 1.0543,                0.46001,                 0.6367,                0.60805,                0.35969,                 1.4537,                 1.8677,                 1.2339,             0.00043665,             0.00043665,             0.00043665
                     28,                 1.1922,                0.95722,                 1.0103,                0.54704,                0.60931,                0.59803,                0.35889,                 1.5103,                 1.7386,                 1.2859,             0.00043083,             0.00043083,             0.00043083
                     29,                 1.1966,                0.88413,                 1.0764,                0.52323,                0.59288,                0.61404,                0.38179,                 1.4312,                 1.6464,                 1.2315,             0.00042501,             0.00042501,             0.00042501
                     30,                 1.1667,                0.88572,                 1.0364,                 0.6093,                0.59432,                0.67238,                0.43184,                 1.3926,                 1.5201,                 1.2089,             0.00041919,             0.00041919,             0.00041919
                     31,                 1.1976,                0.88639,                 1.0012,                0.59869,                0.64256,                 0.7358,                0.47446,                 1.3976,                 1.4599,                 1.2092,             0.00041336,             0.00041336,             0.00041336
                     32,                 1.0666,                0.76489,                0.97817,                0.72357,                0.66765,                 0.6569,                0.41086,                 1.4214,                 1.5145,                 1.2102,             0.00040754,             0.00040754,             0.00040754
                     33,                 1.1279,                0.83041,                 1.0228,                0.82257,                0.63705,                0.71039,                0.46122,                 1.3758,                 1.4294,                 1.1964,             0.00040172,             0.00040172,             0.00040172
                     34,                 1.0168,                0.75066,                0.98752,                0.71268,                0.65364,                0.76597,                0.50287,                 1.3325,                 1.2642,                 1.1667,              0.0003959,              0.0003959,              0.0003959
                     35,                 1.0692,                 0.7442,                0.98449,                 0.7299,                0.66951,                0.81174,                 0.5212,                 1.3708,                 1.2974,                 1.1634,             0.00039008,             0.00039008,             0.00039008
                     36,                0.99895,                0.77597,                0.95683,                0.58279,                0.77615,                0.73148,                0.46993,                 1.4291,                 1.3056,                 1.2319,             0.00038426,             0.00038426,             0.00038426
                     37,                0.99297,                0.71184,                0.98001,                0.62516,                0.68825,                0.71264,                0.48174,                 1.3846,                 1.3453,                 1.2113,             0.00037844,             0.00037844,             0.00037844
                     38,                 1.0161,                0.69216,                0.92924,                0.58369,                0.68773,                0.71346,                0.47343,                 1.3919,                 1.4076,                 1.2017,             0.00037262,             0.00037262,             0.00037262
                     39,                0.96986,                0.65261,                0.94405,                0.57177,                0.67377,                0.70142,                 0.4688,                 1.4171,                 1.4794,                 1.2152,             0.00036679,             0.00036679,             0.00036679
                     40,                 1.0708,                0.71029,                 1.0262,                0.65341,                0.62843,                0.68729,                0.44829,                 1.4291,                 1.5876,                 1.2076,             0.00036097,             0.00036097,             0.00036097
                     41,                0.99283,                0.63446,                0.95338,                0.60707,                0.63091,                0.66003,                0.43514,                 1.4066,                 1.6622,                  1.185,             0.00035515,             0.00035515,             0.00035515
                     42,                0.92695,                0.64799,                0.96749,                0.59479,                0.65653,                0.66491,                0.44436,                 1.3839,                 1.6201,                 1.1749,             0.00034933,             0.00034933,             0.00034933
                     43,                0.92792,                0.62336,                0.96366,                0.61069,                0.66659,                0.65894,                0.42967,                  1.363,                 1.5574,                 1.1765,             0.00034351,             0.00034351,             0.00034351
                     44,                0.96989,                 0.6692,                 0.9654,                0.55357,                 0.7231,                0.61801,                0.39941,                 1.3582,                 1.6231,                 1.1736,             0.00033769,             0.00033769,             0.00033769
                     45,                0.92698,                0.62222,                0.95636,                0.84331,                0.50814,                0.62947,                0.41665,                 1.3318,                 1.6477,                 1.1706,             0.00033187,             0.00033187,             0.00033187
                     46,                0.92838,                0.61176,                0.95763,                0.64378,                 0.6101,                0.61573,                0.41163,                 1.2929,                 1.6113,                 1.1752,             0.00032605,             0.00032605,             0.00032605
                     47,                0.88904,                0.60541,                0.95361,                0.53978,                0.60142,                0.60266,                0.39447,                 1.3057,                  1.576,                 1.1937,             0.00032022,             0.00032022,             0.00032022
                     48,                0.89845,                0.63338,                 0.9368,                0.51473,                0.62197,                0.61482,                0.40573,                 1.3288,                 1.6432,                 1.1962,              0.0003144,              0.0003144,              0.0003144
                     49,                0.91534,                0.66496,                0.96692,                0.63569,                0.58828,                0.62787,                0.41145,                 1.3346,                 1.6187,                  1.204,             0.00030858,             0.00030858,             0.00030858
                     50,                0.93183,                0.60838,                0.94558,                0.59694,                0.65706,                0.65516,                0.42065,                 1.3405,                 1.5861,                 1.2175,             0.00030276,             0.00030276,             0.00030276
                     51,                0.87611,                 0.5764,                0.91482,                0.62441,                0.63999,                0.67225,                0.43767,                 1.3343,                 1.5897,                 1.2191,             0.00029694,             0.00029694,             0.00029694
                     52,                0.89713,                0.63252,                0.94656,                0.53063,                0.62449,                0.65201,                0.43566,                 1.3369,                 1.7431,                 1.1897,             0.00029112,             0.00029112,             0.00029112
                     53,                 0.8601,                0.55632,                0.90998,                0.56203,                0.64851,                0.65358,                0.42598,                 1.3657,                 1.7635,                 1.1982,              0.0002853,              0.0002853,              0.0002853
                     54,                0.90498,                0.63036,                0.95623,                0.67014,                0.65914,                0.66098,                  0.425,                  1.378,                 1.5957,                 1.2004,             0.00027948,             0.00027948,             0.00027948
                     55,                0.87667,                0.61424,                0.93516,                 0.7063,                0.59255,                0.68032,                0.44803,                 1.3645,                 1.4304,                 1.1892,             0.00027366,             0.00027366,             0.00027366
                     56,                0.87934,                0.61828,                0.94839,                0.74303,                 0.5185,                0.65908,                0.43488,                 1.3748,                 1.4481,                 1.1992,             0.00026783,             0.00026783,             0.00026783
                     57,                0.82163,                0.55464,                0.91646,                0.74789,                0.51699,                0.63925,                0.41923,                 1.3923,                 1.5625,                 1.2002,             0.00026201,             0.00026201,             0.00026201
                     58,                0.82039,                0.54312,                0.91329,                0.84058,                0.52957,                0.64298,                0.41504,                 1.3962,                 1.5511,                 1.2031,             0.00025619,             0.00025619,             0.00025619
                     59,                0.86581,                0.56961,                0.92425,                0.86131,                0.51979,                0.67325,                0.44418,                 1.3981,                 1.5098,                 1.2137,             0.00025037,             0.00025037,             0.00025037
                     60,                 0.8017,                0.53553,                0.88926,                0.94638,                0.51637,                0.71533,                0.47261,                 1.3757,                  1.445,                 1.2078,             0.00024455,             0.00024455,             0.00024455
                     61,                0.80923,                0.55869,                0.94496,                0.86397,                0.58895,                0.72133,                0.47002,                 1.3784,                 1.3908,                 1.2163,             0.00023873,             0.00023873,             0.00023873
                     62,                0.83375,                 0.5074,                0.90469,                0.76694,                0.61099,                0.73457,                0.47446,                  1.385,                 1.3454,                  1.234,             0.00023291,             0.00023291,             0.00023291
                     63,                0.83401,                 0.5385,                0.91348,                 0.6702,                0.61659,                0.73735,                0.47287,                 1.4072,                 1.3503,                 1.2678,             0.00022709,             0.00022709,             0.00022709
                     64,                0.78715,                0.53885,                0.92033,                0.64237,                0.65743,                0.73692,                 0.4594,                 1.4209,                 1.3576,                 1.2821,             0.00022126,             0.00022126,             0.00022126
                     65,                0.76516,                0.50884,                0.90865,                0.62627,                0.66037,                0.75242,                0.48528,                 1.3687,                  1.326,                 1.2532,             0.00021544,             0.00021544,             0.00021544
                     66,                0.76096,                0.49929,                0.89676,                0.62417,                0.68312,                0.76015,                0.50695,                  1.344,                  1.318,                 1.2273,             0.00020962,             0.00020962,             0.00020962
                     67,                0.74886,                0.48267,                0.86609,                0.61707,                0.70577,                 0.7626,                 0.5161,                 1.3487,                 1.3198,                 1.2239,              0.0002038,              0.0002038,              0.0002038
                     68,                0.77669,                0.48897,                 0.8939,                 0.6119,                0.70531,                0.72933,                0.48476,                 1.3697,                 1.4807,                 1.2495,             0.00019798,             0.00019798,             0.00019798
                     69,                0.73389,                0.52252,                0.91581,                 0.6353,                0.67127,                0.72786,                0.48238,                 1.3905,                 1.5443,                 1.2483,             0.00019216,             0.00019216,             0.00019216
                     70,                0.74656,                0.47123,                0.89495,                 0.6158,                0.66725,                0.72964,                0.48246,                 1.4002,                 1.5745,                 1.2556,             0.00018634,             0.00018634,             0.00018634
                     71,                0.70089,                0.46685,                0.87275,                0.60472,                0.66401,                 0.7293,                0.48123,                 1.3954,                 1.5504,                 1.2682,             0.00018052,             0.00018052,             0.00018052
                     72,                0.69489,                0.46106,                0.88126,                0.60791,                0.70314,                0.77051,                0.50367,                 1.3702,                 1.3564,                 1.2862,             0.00017469,             0.00017469,             0.00017469
                     73,                0.67818,                 0.4443,                 0.8584,                0.62845,                0.71312,                0.76788,                0.50883,                 1.3796,                   1.31,                 1.2916,             0.00016887,             0.00016887,             0.00016887
                     74,                0.71535,                0.46752,                0.87377,                0.61664,                0.71094,                0.76686,                 0.4974,                 1.3957,                 1.2825,                 1.3013,             0.00016305,             0.00016305,             0.00016305
                     75,                0.65236,                0.43198,                0.87107,                 0.6131,                0.73029,                0.76865,                0.50206,                 1.4006,                 1.2486,                 1.2965,             0.00015723,             0.00015723,             0.00015723
                     76,                0.73806,                0.47417,                0.88552,                0.62002,                0.70152,                0.76708,                0.50403,                 1.4067,                 1.2093,                 1.2881,             0.00015141,             0.00015141,             0.00015141
                     77,                 0.7141,                 0.4748,                0.88549,                0.63853,                0.71259,                 0.7717,                0.50674,                 1.3888,                 1.2162,                 1.2822,             0.00014559,             0.00014559,             0.00014559
                     78,                0.66953,                 0.4405,                0.85468,                0.64081,                0.70898,                0.77034,                0.51116,                 1.3637,                 1.2216,                 1.2647,             0.00013977,             0.00013977,             0.00013977
                     79,                 0.7075,                0.49756,                0.86075,                0.66303,                0.71954,                0.77309,                  0.514,                 1.3485,                 1.2444,                 1.2537,             0.00013395,             0.00013395,             0.00013395
                     80,                0.68211,                0.45777,                  0.885,                0.65771,                0.73869,                0.77462,                0.51891,                 1.3501,                  1.231,                  1.252,             0.00012813,             0.00012813,             0.00012813
                     81,                0.66785,                0.44554,                 0.8672,                0.62346,                0.74228,                 0.7715,                0.52555,                 1.3413,                 1.2014,                 1.2473,              0.0001223,              0.0001223,              0.0001223
                     82,                0.63839,                0.42004,                0.84542,                 0.6908,                0.69506,                0.77716,                0.53063,                 1.3264,                 1.1595,                 1.2349,             0.00011648,             0.00011648,             0.00011648
                     83,                0.62456,                0.40106,                0.87539,                0.62239,                0.79753,                0.78869,                 0.5396,                 1.3163,                 1.1091,                 1.2223,             0.00011066,             0.00011066,             0.00011066
                     84,                0.60063,                0.37934,                0.85299,                   0.68,                0.85593,                0.81499,                0.56032,                 1.3031,                 1.0571,                 1.2263,             0.00010484,             0.00010484,             0.00010484
                     85,                0.59871,                0.42272,                0.85304,                 0.6798,                0.87338,                 0.8264,                 0.5631,                 1.3163,                 1.0436,                 1.2304,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.60082,                0.41163,                0.86248,                0.65403,                0.87338,                0.81602,                0.55845,                 1.3192,                  1.044,                  1.227,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                 0.5734,                0.38406,                0.82658,                0.64291,                0.86699,                0.81562,                0.56501,                 1.3255,                 1.0401,                 1.2217,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                0.57555,                0.39898,                0.86915,                0.63975,                0.80499,                0.81106,                0.55596,                 1.3132,                 1.0419,                 1.1955,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                0.54515,                0.37968,                0.85408,                0.65837,                0.79513,                0.80208,                0.54765,                 1.3196,                 1.0376,                 1.1946,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                0.57669,                   0.41,                 0.8591,                 0.6675,                0.78994,                0.80212,                0.54569,                 1.3247,                 1.0332,                 1.1998,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                0.54631,                 0.3463,                0.82824,                0.67152,                0.78865,                0.81509,                0.55466,                 1.3294,                 1.0422,                 1.2051,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                0.51459,                0.33558,                0.86686,                0.67011,                0.79727,                0.80837,                0.54919,                 1.3337,                 1.0598,                 1.2169,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                0.54574,                0.35712,                0.84037,                0.67386,                0.79526,                0.80911,                0.54735,                 1.3344,                 1.0718,                 1.2194,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                0.54248,                0.35791,                0.85114,                0.65117,                0.79392,                0.79379,                0.53375,                 1.3321,                 1.0716,                 1.2228,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                0.54172,                0.34935,                0.83518,                0.64182,                0.79351,                0.79287,                0.53564,                 1.3302,                 1.0808,                 1.2227,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                0.54198,                0.34259,                0.85078,                0.63939,                0.77672,                0.80464,                0.54623,                 1.3173,                 1.0824,                 1.2279,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                0.51797,                0.34704,                0.85292,                0.65406,                0.78024,                0.78373,                0.52709,                 1.3128,                 1.0853,                 1.2261,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                0.47679,                0.32498,                0.82767,                 0.6619,                0.77683,                0.78152,                0.52233,                 1.3102,                 1.0865,                 1.2269,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                0.49467,                 0.3275,                0.82994,                0.65155,                0.78012,                0.78152,                0.52697,                 1.3106,                 1.0882,                 1.2279,             1.7522e-05,             1.7522e-05,             1.7522e-05
                    100,                0.49824,                0.33408,                0.83085,                0.66244,                0.77696,                0.78381,                0.52924,                 1.3132,                  1.104,                 1.2314,             1.1701e-05,             1.1701e-05,             1.1701e-05
